epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.1834,0.99338,0.69841,1,0.92855,0.000232195,0.000232195,0.000232195
2,29.5928,0.64274,0.65079,1,0.8385,0.000436946,0.000436946,0.000436946
3,42.7376,0.41191,0.8254,1,0.75824,0.000608036,0.000608036,0.000608036
4,57.0168,0.32993,0.7619,1,0.75832,0.00056253,0.00056253,0.00056253
5,69.9612,0.24682,0.80952,1,0.73934,0.00051204,0.00051204,0.00051204
6,83.6878,0.21374,0.84127,1,0.71848,0.00046155,0.00046155,0.00046155
7,98.3207,0.15325,0.85714,1,0.70002,0.00041106,0.00041106,0.00041106
8,112.422,0.15855,0.85714,1,0.70726,0.00036057,0.00036057,0.00036057
9,126.355,0.17291,0.87302,1,0.68823,0.00031008,0.00031008,0.00031008
10,140.13,0.13349,0.87302,1,0.68708,0.00025959,0.00025959,0.00025959
11,153.551,0.14061,0.85714,1,0.68672,0.0002091,0.0002091,0.0002091
12,166.849,0.11544,0.85714,1,0.68663,0.00015861,0.00015861,0.00015861
13,180.695,0.1061,0.87302,1,0.68273,0.00010812,0.00010812,0.00010812
14,194.202,0.11639,0.87302,1,0.68228,5.763e-05,5.763e-05,5.763e-05
