epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.26142,0.61619,0.75,1,0.7827,1.428e-05,1.428e-05,1.428e-05
2,2.82107,1.12222,0.83333,1,0.7705,3.21657e-05,3.21657e-05,3.21657e-05
3,4.37978,0.60085,0.83333,1,0.7548,4.58102e-05,4.58102e-05,4.58102e-05
4,5.91464,0.76494,0.83333,1,0.75271,5.52136e-05,5.52136e-05,5.52136e-05
5,7.45747,0.54212,0.83333,1,0.74641,6.03758e-05,6.03758e-05,6.03758e-05
6,8.9148,0.75011,0.83333,1,0.74056,6.12969e-05,6.12969e-05,6.12969e-05
7,10.3946,0.62224,0.83333,1,0.73598,5.79768e-05,5.79768e-05,5.79768e-05
8,11.7908,0.64059,0.83333,1,0.73839,5.04155e-05,5.04155e-05,5.04155e-05
9,13.2845,0.40205,0.83333,1,0.73898,3.86131e-05,3.86131e-05,3.86131e-05
10,14.7133,0.6774,0.83333,1,0.73912,2.25695e-05,2.25695e-05,2.25695e-05
