epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.428,0.99508,0.65672,1,0.95485,0.000232591,0.000232591,0.000232591
2,27.0733,0.66342,0.80597,1,0.89463,0.000437313,0.000437313,0.000437313
3,40.7297,0.44661,0.77612,1,0.71156,0.000608376,0.000608376,0.000608376
4,53.3981,0.33431,0.80597,1,0.69533,0.00056253,0.00056253,0.00056253
5,65.6114,0.27439,0.83582,1,0.66705,0.00051204,0.00051204,0.00051204
6,77.7823,0.25338,0.86567,1,0.75608,0.00046155,0.00046155,0.00046155
7,90.0062,0.187,0.8806,1,0.65282,0.00041106,0.00041106,0.00041106
8,102.261,0.18642,0.89552,1,0.71631,0.00036057,0.00036057,0.00036057
9,114.465,0.19357,0.8209,1,0.67702,0.00031008,0.00031008,0.00031008
10,127.14,0.13648,0.86567,1,0.77966,0.00025959,0.00025959,0.00025959
11,140.817,0.12692,0.86567,1,0.74552,0.0002091,0.0002091,0.0002091
12,154.774,0.17018,0.86567,1,0.84198,0.00015861,0.00015861,0.00015861
13,170.339,0.12991,0.86567,1,0.638,0.00010812,0.00010812,0.00010812
14,186.596,0.11582,0.86567,1,0.70927,5.763e-05,5.763e-05,5.763e-05
