epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.80115,0.46771,0.75,1,0.75675,1.428e-05,1.428e-05,1.428e-05
2,3.95519,0.69605,0.75,1,0.7355,3.21657e-05,3.21657e-05,3.21657e-05
3,6.01634,0.32898,0.91667,1,0.71075,4.58102e-05,4.58102e-05,4.58102e-05
4,8.2161,0.33044,0.91667,1,0.69275,5.52136e-05,5.52136e-05,5.52136e-05
5,10.2367,0.2821,0.91667,1,0.68137,6.03758e-05,6.03758e-05,6.03758e-05
6,12.2243,0.46322,0.91667,1,0.67324,6.12969e-05,6.12969e-05,6.12969e-05
7,14.2254,0.29746,0.91667,1,0.65713,5.79768e-05,5.79768e-05,5.79768e-05
8,16.1332,0.40114,0.91667,1,0.65208,5.04155e-05,5.04155e-05,5.04155e-05
9,18.105,0.31279,0.91667,1,0.64816,3.86131e-05,3.86131e-05,3.86131e-05
10,19.9817,0.19353,0.91667,1,0.64486,2.25695e-05,2.25695e-05,2.25695e-05
